batch_size,avg_latency_ms,peak_memory_mb
984,278.957,5085.56
985,281.065,5085.56
986,280.406,5089.56
987,279.988,5087.56
988,282.4,5033.56
989,283.289,5087.56
990,281.891,5035.56
991,282.015,5091.56
992,281.092,5089.56
993,281.383,5037.56
994,281.749,5093.56
995,281.525,5031.56
996,282.536,5093.56
997,282.417,5041.56
998,282.805,5095.56
999,284.413,5093.56
1000,284,5033.56
1001,281.926,5095.56
1002,283.164,5043.56
1003,286.333,5043.56
1004,283.525,5045.56
1005,283.624,5045.56
1006,284.32,5045.56
1007,285.739,5099.56
1008,284.511,5039.56
1009,284.321,5047.56
1010,284.772,5047.56
1011,286.089,5047.56
1012,285.117,5049.56
1013,285.83,5049.56
1014,283.617,5049.56
1015,286.108,5103.56
1016,284.178,5103.56
1017,286.247,5103.56
1018,287.002,5105.56
1019,287.238,5105.56
1020,286.72,5107.56
1021,288.696,5055.56
1022,285.944,5107.56
1023,287.627,5109.56
1024,289.056,5053.56
